scenario,intervention_effect_source,eligible_users_historical_window,effect_pp,effect_ci_low_pp,effect_ci_high_pp,expected_incremental_game_completers_low,expected_incremental_game_completers_central,expected_incremental_game_completers_high
首次 Level 2 失败后教程,tutorial_popup,210,16.3,15.77,16.82,33.1,34.2,35.3
首次 Level 2 失败后降难度,game_difficulty_reduced,210,23.05,22.35,23.74,46.9,48.4,49.9
第二次及以上失败后教程,tutorial_popup,84,16.3,15.77,16.82,13.2,13.7,14.1
第二次及以上失败后降难度,game_difficulty_reduced,84,23.05,22.35,23.74,18.8,19.4,19.9
观察到的 Level 2 立即退出用户（仅作间接换算）,game_difficulty_reduced,150,23.05,22.35,23.74,33.5,34.6,35.6
